Date,Open,High,Low,Close
01/03/2001,"10,637.42","11,212.62","10,367.19","10,945.75"
01/02/2001,"10,790.92","10,916.98","10,450.55","10,646.15"
12/29/2000,"10,868.76","11,031.05","10,675.75","10,786.85"
12/28/2000,"10,795.20","11,009.44","10,645.42","10,868.76"
12/27/2000,"10,690.10","10,944.60","10,551.00","10,803.16"
12/26/2000,"10,638.21","10,813.78","10,479.71","10,692.44"
12/22/2000,"10,495.26","10,772.07","10,364.09","10,635.56"
12/21/2000,"10,314.38","10,651.96","10,158.15","10,487.29"
12/20/2000,"10,580.97","10,604.08","10,197.59","10,318.93"
12/19/2000,"10,643.14","10,865.35","10,441.41","10,584.37"
12/18/2000,"10,433.34","10,783.82","10,417.43","10,645.42"
12/15/2000,"10,647.98","10,706.84","10,324.24","10,434.96"
12/14/2000,"10,794.82","10,864.49","10,508.53","10,674.99"
12/13/2000,"10,777.95","11,002.23","10,653.76","10,794.44"
12/12/2000,"10,722.77","10,968.77","10,582.09","10,768.27"
12/11/2000,"10,719.36","10,931.33","10,521.04","10,725.80"
12/08/2000,"10,632.14","10,896.82","10,534.69","10,712.91"
12/07/2000,"10,644.66","10,791.40","10,448.99","10,617.36"
12/06/2000,"10,896.14","10,995.41","10,513.84","10,664.38"
12/05/2000,"10,576.78","11,044.70","10,504.36","10,898.72"
12/04/2000,"10,377.33","10,695.28","10,227.17","10,560.10"
12/01/2000,"10,416.76","10,645.42","10,238.54","10,373.54"
11/30/2000,"10,610.53","10,690.16","10,204.80","10,414.49"
11/29/2000,"10,502.74","10,746.66","10,383.02","10,629.11"
11/28/2000,"10,537.86","10,730.35","10,356.47","10,507.58"
11/27/2000,"10,479.33","10,758.04","10,411.08","10,546.07"
11/24/2000,"10,403.87","10,596.50","10,354.20","10,470.23"
11/22/2000,"10,484.26","10,589.67","10,251.06","10,399.32"
11/21/2000,"10,465.57","10,676.13","10,303.39","10,494.50"
11/20/2000,"10,624.18","10,707.22","10,331.45","10,462.65"
11/17/2000,"10,657.13","10,824.77","10,462.55","10,629.87"
11/16/2000,"10,705.33","10,757.66","10,639.35","10,656.03"
11/15/2000,"10,681.21","10,863.83","10,544.17","10,707.60"
11/14/2000,"10,528.25","10,809.61","10,484.64","10,681.06"
11/13/2000,"10,595.35","10,701.54","10,273.24","10,517.25"
11/10/2000,"10,813.78","10,886.20","10,497.53","10,602.95"
11/09/2000,"10,902.11","10,989.34","10,576.40","10,834.25"
11/08/2000,"10,954.34","11,152.02","10,779.27","10,907.06"
11/07/2000,"10,978.72","11,105.75","10,825.15","10,952.18"
11/06/2000,"10,820.60","11,092.10","10,741.73","10,977.21"
11/03/2000,"10,883.17","10,996.17","10,650.72","10,817.95"
11/02/2000,"10,903.17","11,071.06","10,731.49","10,880.51"
11/01/2000,"10,966.21","11,103.10","10,736.42","10,899.47"
10/31/2000,"10,835.39","11,108.79","10,681.06","10,971.14"
10/30/2000,"10,588.06","10,944.98","10,506.25","10,835.77"
10/27/2000,"10,381.60","10,696.43","10,296.70","10,590.62"
10/26/2000,"10,330.18","10,563.25","10,128.18","10,380.12"
10/25/2000,"10,395.66","10,563.99","10,170.08","10,326.48"
10/24/2000,"10,273.57","10,583.96","10,136.69","10,393.07"
10/23/2000,"10,230.29","10,496.28","10,078.24","10,271.72"
10/20/2000,"10,141.13","10,406.76","9,925.82","10,226.59"
10/19/2000,"10,014.61","10,317.23","9,901.77","10,142.98"
10/18/2000,"10,085.99","10,171.47","9,571.40","9,975.02"
10/17/2000,"10,242.87","10,402.32","9,924.34","10,089.71"
10/16/2000,"10,184.78","10,428.95","10,033.84","10,238.80"
10/13/2000,"10,031.62","10,325.37","9,883.27","10,192.18"
10/12/2000,"10,424.14","10,462.25","9,873.66","10,034.58"
10/11/2000,"10,521.07","10,647.23","10,228.44","10,413.79"
10/10/2000,"10,569.17","10,744.52","10,377.16","10,524.40"
10/09/2000,"10,596.91","10,762.10","10,438.94","10,568.43"
10/06/2000,"10,726.76","10,871.42","10,440.05","10,596.54"
10/05/2000,"10,783.72","10,940.23","10,570.28","10,724.92"
10/04/2000,"10,723.33","10,972.41","10,596.54","10,784.48"
10/03/2000,"10,709.84","10,976.11","10,561.03","10,719.74"
10/02/2000,"10,659.06","10,876.23","10,479.27","10,700.13"
09/29/2000,"10,821.40","10,923.21","10,552.15","10,650.92"
09/28/2000,"10,629.84","10,948.00","10,539.48","10,824.06"
09/27/2000,"10,634.45","10,821.10","10,439.31","10,628.36"
09/26/2000,"10,806.30","10,915.44","10,499.61","10,631.32"
09/25/2000,"10,847.37","11,039.47","10,664.24","10,808.15"
09/22/2000,"10,678.30","10,936.53","10,505.16","10,847.37"
09/21/2000,"10,680.52","10,902.12","10,548.08","10,765.52"
09/20/2000,"10,794.47","10,906.93","10,500.35","10,687.92"
09/19/2000,"10,812.22","10,960.94","10,645.38","10,789.29"
09/18/2000,"10,926.42","11,053.80","10,693.84","10,808.52"
09/15/2000,"11,087.84","11,203.26","10,857.73","10,927.06"
09/14/2000,"11,189.58","11,285.39","10,986.47","11,087.47"
09/13/2000,"11,225.03","11,350.87","11,020.14","11,182.18"
09/12/2000,"11,197.71","11,351.98","11,015.70","11,233.23"
09/11/2000,"11,219.54","11,367.15","11,043.07","11,195.49"
09/08/2000,"11,261.72","11,381.95","11,059.72","11,220.65"
09/07/2000,"11,316.01","11,444.84","11,124.83","11,259.87"
09/06/2000,"11,253.58","11,518.83","11,186.25","11,310.64"
09/05/2000,"11,221.76","11,382.69","11,094.50","11,260.61"
09/01/2000,"11,219.54","11,406.74","11,130.01","11,238.78"
08/31/2000,"11,105.23","11,415.99","11,040.85","11,215.10"
08/30/2000,"11,209.01","11,282.06","11,034.57","11,103.01"
08/29/2000,"11,249.27","11,356.42","11,100.79","11,215.10"
08/28/2000,"11,194.48","11,410.44","11,123.35","11,252.84"
08/25/2000,"11,180.54","11,301.41","11,073.59","11,192.63"
08/24/2000,"11,143.91","11,253.06","10,990.44","11,182.74"
08/23/2000,"11,130.55","11,253.06","10,990.44","11,144.65"
08/22/2000,"11,082.20","11,274.67","11,000.33","11,139.15"
08/21/2000,"11,058.85","11,193.73","10,945.39","11,079.81"
08/18/2000,"11,051.20","11,180.54","10,933.30","11,046.48"
08/17/2000,"11,010.95","11,180.91","10,899.24","11,055.64"
08/16/2000,"11,068.83","11,171.02","10,888.62","11,008.39"
08/15/2000,"11,175.05","11,227.06","10,965.54","11,067.00"
08/14/2000,"11,027.07","11,232.92","10,928.91","11,176.14"
08/11/2000,"10,905.98","11,131.83","10,841.37","11,027.80"
08/10/2000,"10,901.06","11,069.93","10,779.47","10,908.76"
08/09/2000,"10,970.94","11,097.03","10,780.02","10,905.83"
08/08/2000,"10,865.15","11,083.11","10,741.38","10,976.89"
08/07/2000,"10,773.98","10,973.23","10,657.50","10,867.01"
08/04/2000,"10,713.36","10,873.97","10,555.68","10,767.75"
08/03/2000,"10,679.37","10,844.30","10,518.68","10,706.58"
08/02/2000,"10,609.15","10,818.66","10,514.29","10,687.53"
08/01/2000,"10,523.81","10,728.92","10,428.58","10,606.95"
07/31/2000,"10,514.29","10,727.09","10,374.00","10,521.98"
07/28/2000,"10,594.97","10,732.14","10,367.28","10,511.17"
07/27/2000,"10,516.83","10,745.93","10,450.01","10,586.13"
07/26/2000,"10,689.36","10,790.13","10,447.18","10,516.48"
07/25/2000,"10,689.28","10,867.20","10,557.49","10,699.97"
07/24/2000,"10,731.44","10,895.84","10,545.47","10,682.12"
07/21/2000,"10,843.51","10,949.58","10,614.06","10,733.56"
07/20/2000,"10,700.68","10,980.34","10,671.33","10,843.87"
07/19/2000,"10,724.15","10,907.15","10,587.89","10,696.08"
07/18/2000,"10,799.16","10,895.57","10,613.00","10,739.92"
07/17/2000,"10,812.40","10,969.38","10,653.30","10,804.27"
07/14/2000,"10,793.31","10,935.44","10,661.43","10,812.75"
07/13/2000,"10,774.92","10,963.02","10,643.40","10,788.71"
07/12/2000,"10,722.24","10,930.84","10,639.51","10,783.76"
07/11/2000,"10,649.06","10,807.45","10,626.79","10,727.19"
07/10/2000,"10,627.14","10,792.25","10,520.01","10,646.58"
07/07/2000,"10,483.33","10,742.04","10,419.25","10,635.98"
07/06/2000,"10,481.45","10,644.11","10,303.28","10,481.47"
07/05/2000,"10,538.23","10,674.16","10,362.33","10,483.60"
07/03/2000,"10,450.36","10,610.17","10,353.66","10,560.67"
06/30/2000,"10,393.09","10,628.20","10,161.51","10,447.89"
06/29/2000,"10,523.90","10,582.94","10,278.98","10,398.04"
